group,playbook,start1,end1,date1,title1,location1,start2,end2,date2,title2,location2,start3,end3,date3,title3,location3,start4,end4,date4,title4,location4,start5,end5,date5,title5,location5,start6,end6,date6,title6,location6,start7,end7,date7,title7,location7
sign responsible1,Activity,08:00,09:00,21-Aug,Sign responsibility,Nørreport st (7/11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible2,Activity,08:00,09:00,21-Aug,Sign responsibility,Nørreport st (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible3,Activity,08:00,09:00,21-Aug,Sign responsibility,Kongens Nytorv (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible4,Activity,08:00,09:00,21-Aug,Sign responsibility,Islands Brygge (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sign responsible5,Activity,08:00,09:00,21-Aug,Sign responsibility,DR Byen (metro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ddit,Academic,10:15,11:15,21-Aug,Ice breakers with DDIT,Aud3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker ds,Academic,10:15,11:00,21-Aug,Ice breakers with DS,Aud2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker gbi,Academic,10:15,11:00,21-Aug,Ice breakers with GBI,Aud0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice breaker swu,Academic,10:15,11:15,21-Aug,Ice breakers with SWU,Aud1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
academic ddit,Academic,08:30,15:30,21-Aug,Academic hours,Aud3,08:45,15:30,22-Aug,Academic hours,Aud3,08:30,15:30,23-Aug,Academic hours,Aud3,19:30,20:00,21-Aug,Academic debriefing,3a08,17:30,18:00,22-Aug,Academic debriefing,3a08,16:00,16:30,23-Aug,Academic debriefing,3a08,08:15,08:30,21-Aug,Briefing,3a08
academic ds,Academic,08:30,15:30,21-Aug,Academic hours,Aud2,08:30,15:30,22-Aug,Academic hours,Aud2,09:30,15:30,23-Aug,Academic hours,Aud2,19:30,20:00,21-Aug,Academic debriefing,3a08,17:30,18:00,22-Aug,Academic debriefing,3a08,16:00,16:30,23-Aug,Academic debriefing,3a08,08:15,08:30,21-Aug,Briefing,3a08
academic gbi,Academic,08:30,15:30,21-Aug,Academic hours,Aud0,08:30,15:30,22-Aug,Academic hours,Aud0,08:30,15:30,23-Aug,Academic hours,Aud0,19:30,20:00,21-Aug,Academic debriefing,3a08,17:30,18:00,22-Aug,Academic debriefing,3a08,16:00,16:30,23-Aug,Academic debriefing,3a08,08:15,08:30,21-Aug,Briefing,3a08
academic swu,Academic,08:30,15:30,21-Aug,Academic hours,Aud1,08:30,15:30,22-Aug,Academic hours,Aud1,08:45,16:00,23-Aug,Academic hours,Aud1,19:30,20:00,21-Aug,Academic debriefing,3a08,17:30,18:00,22-Aug,Academic debriefing,3a08,16:00,16:30,23-Aug,Academic debriefing,3a08,08:15,08:30,21-Aug,Briefing,3a08
studyline ddit,Academic,13:45,15:00,21-Aug,Study line pitch for SWU,Aud3,09:15,10:00,22-Aug,Study line pitch for DS,,10:15,11:00,22-Aug,Study line pitch for GBI,,,,,,,,,,,,,,,,,,,,,
studyline ds,Academic,13:45,15:00,21-Aug,Study line pitch for DDIT and SWU,Aud2,10:15,11:00,22-Aug,Study line pitch for GBI,,,,,,,,,,,,,,,,,,,,,,,,,,
studyline gbi,Academic,13:45,15:00,21-Aug,Study line pitch for DDIT and SWU,Aud0,09:15,10:00,22-Aug,Study line pitch for DS,,,,,,,,,,,,,,,,,,,,,,,,,,
studyline swu,Academic,13:45,15:00,21-Aug,Study line pitch for DDIT,Aud1,09:15,10:00,22-Aug,Study line pitch for DS,,10:15,11:00,22-Aug,Study line pitch for GBI,,,,,,,,,,,,,,,,,,,,,
